URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/v3-substanceAdminSubstitution,5.0.0,active,"2.16.840.1.113883.5.1070",SubstanceAdminSubstitution,Substance Admin Substitution,"Identifies what sort of change is permitted or has occurred between the therapy that was ordered and the therapy that was/will be provided.","ValueSet/v3-ActSubstanceAdminSubstitutionCode"
http://terminology.hl7.org/fhir/CodeSystem/medicationdispense-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1315",MedicationDispense Category Codes,Medication dispense  category  codes,"MedicationDispense Category Codes","ValueSet/medicationdispense-category"
http://terminology.hl7.org/fhir/CodeSystem/medicationdispense-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.4.1317",MedicationDispense Status Reason Codes,Medication dispense  status  reason  codes,"MedicationDispense Status Codes","ValueSet/medicationdispense-status-reason"
http://unitsofmeasure.org,2.2,active,,UCUM,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/RNDSUnidadeMedida,ValueSet/units-of-time"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBO,1.0.0-release,active,,BRCBO,Classificação Brasileira de Ocupações - CBO (CodeSystem),"Classifica as profissões do mercado de trabalho brasileiro.","ValueSet/BROcupacao-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCIAP2,1.0.0-release,active,,BRCIAP2,Classificação Internacional de Atenção Primária - Segunda Edição (CIAP2),"Classifica os problemas identificados no contato assistencial pelos profissionais de saúde, os motivos da contato assistencial e as respostas propostas pela equipe seguindo a sistematização SOAP.","ValueSet/BRProblemaDiagnostico"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCID10,1.0.0-release,active,,BRCID10,Classificação Internacional de Doenças - Décima Revisão (CID-10),"Classifica as doenças e outros problemas em saúde registrados em diversos tipos de documentos clínicos.","ValueSet/BRProblemaDiagnostico"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRJustificativaIndividuoNaoIdentificado,1.0.0-release,active,,BRJustificativaIndividuoNaoIdentificado,Justificativa da Impossibilidade de Identificação do Indivíduo (CodeSystem),"Classifica as razões pelo qual não foi possível obter os dados de identificação do indivíduo em um contato assistencial. (Port. nº 84/SAS/MS/1997 e Port. nº02/SAS/SGEP/MS/2012)","ValueSet/BRJustificativaIndividuoNaoIdentificado-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmAMPP,1.0.0-release,active,,BRObmAMPP,Terminologia de Produto Medicinal Comercial com Apresentação (AMPP) na Ontologia Brasileira de Medicamentos (OBM),"Apresenta o Terminologia de Produto Medicinal Comercial com Apresentação (AMPP) e seu Código na Ontologia Brasileira de Medicamentos (OBM)","ValueSet/BRTerminologiaMedicamento"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmANVISA,1.0.0-release,active,,BRObmANVISA,Terminologia de Produto Medicinal Comercial com Apresentação (AMPP) na Agência Nacional de Vigilância Sanitária (Anvisa),"Apresenta o Produto Medicinal Comercial com Apresentação (AMPP) e seu Código de Registro na Agência Nacional de Vigilância Sanitária (Anvisa)","ValueSet/BRTerminologiaMedicamento"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmCATMAT,1.0.0-release,active,,BRObmCATMAT,Terminologia de Produto Medicinal Virtual (VMP) no Catálogo de Materiais (CATMAT),"Apresenta o Produto Medicinal Virtual (VMP) e seu código no Catálogo de Materiais (CATMAT)","ValueSet/BRTerminologiaMedicamento"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmEAN,1.0.0-release,active,,BRObmEAN,Terminologia de Produto Medicinal Virtual (VMP) na GS1.org,"Apresenta o Produto Medicinal Virtual (VMP) e seu Número Europeu do Artigo (EAN) na GS1.org","ValueSet/BRTerminologiaMedicamento"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRObmVMP,1.0.0-release,active,,BRObmVMP,Terminologia de Produto Medicinal Virtual (VMP) na Ontologia Brasileira de Medicamentos (OBM),"Apresenta o Produto Medicinal Virtual (VMP) e seu Código na Ontologia Brasileira de Medicamentos (OBM)","ValueSet/BRTerminologiaMedicamento"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoDispensacaoRealizada,1.0.0-release,active,,BRTipoDispensacaoRealizada,Tipo de Dispensação Realizada (CodeSystem),"Indica o tipo de dispensação que foi realizada","ValueSet/BRTipoDispensacaoRealizada"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoDocumento,1.0.0-release,active,,BRTipoDocumento,Tipo de Documento (CodeSystem),"Classificação dos tipos de documentos compartilhados no Brasil.","ValueSet/BRTipoDocumento-1.0"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRUnidadeMedida,1.0.0-release,active,,BRUnidadeMedida,Unidade de Medida,"CodeSystem utilizado para definir a unidade de medida de um medicamento prescrito, para consumo ou especificação do fabricante.","ValueSet/RNDSUnidadeMedida,ValueSet/BRUnidadeMedidaMedicamento"
http://www.saude.gov.br/fhir/r4/CodeSystem/BRViaAdministracao,1.0.0-release,active,,BRViaAdministracao,Via de Administração (CodeSystem),"Classifica a via na qual foi administrada uma substância em um indivíduo.","ValueSet/BRViaAdministracao-1.0"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRConselhoProfissional,1.0.0-release,active,,BRConselhoProfissional,Conselhos profissionais de saúde do Brasil,"Esse CodeSystem inclui os conselhos profissionais de saúde do Brasil, conforme a Resolução CNS 251/1997.","ValueSet/BRCRF,ValueSet/BRCOREN,ValueSet/BRCRM,ValueSet/BROutrosProfissionais,ValueSet/BRCRO"
